"area_code","area","iso3c","region","EU27","continent"
230,"Ukraine","UKR","Former USSR",FALSE,"EUR"
231,"United States of America","USA","USA",FALSE,"NAM"
233,"Burkina Faso","BFA","Western Africa",FALSE,"AFR"
234,"Uruguay","URY","South America",FALSE,"LAM"
235,"Uzbekistan","UZB","Former USSR",FALSE,"ASI"
236,"Venezuela (Bolivarian Republic of)","VEN","South America",FALSE,"LAM"
237,"Viet Nam","VNM","South East Asia",FALSE,"ASI"
238,"Ethiopia","ETH","Eastern Africa",FALSE,"AFR"
244,"Samoa","WSM","Oceania",FALSE,"OCE"
248,"Yugoslav SFR","YUG","Eastern Europe",FALSE,"EUR"
249,"Yemen","YEM","Middle East",FALSE,"ASI"
250,"Democratic Republic of the Congo","COD","Western Africa",FALSE,"AFR"
251,"Zambia","ZMB","Southern Africa",FALSE,"AFR"
255,"Belgium","BEL","OECD Europe",TRUE,"EU"
256,"Luxembourg","LUX","OECD Europe",TRUE,"EU"
272,"Serbia","SRB","OECD Europe",FALSE,"EUR"
273,"Montenegro","MNE","OECD Europe",FALSE,"EUR"
276,"Sudan","SDN","Eastern Africa",FALSE,"AFR"
277,"South Sudan","SSD","Eastern Africa",FALSE,"AFR"
999,"RoW","ROW","RoW",FALSE,"ROW"
